Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Comment,Parent,Parent summary,Status Category
色定義・borderRadius等 tailwindカスタム定義のリファクタリング,AT-540,10562,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 11:03 AM,22/Oct/23 9:51 PM,22/Dec/23 12:09 AM,22/Oct/23 9:51 PM,,0,,"* ブランドカラーとそうでないものの扱いを分ける
** atomono配下かそれ以外かに分ける
* border radiusが未だ効いていない部分の修正
* ",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002z3:,,,10/24,,,,,,,,3.0,,,,,,,,,,,,Done
フロントエンド週次リリース,AT-544,10566,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,16/Oct/23 12:07 AM,17/Oct/23 1:05 PM,22/Dec/23 12:09 AM,17/Oct/23 1:05 PM,,0,Frontend,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001za:0i,,,10/17まで,,,,,,,,,,,,,,,,,,,,Done
Prod: 所持品リスト検索のCORSエラー,AT-547,10569,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,16/Oct/23 10:09 AM,22/Oct/23 3:13 PM,22/Dec/23 12:09 AM,22/Oct/23 3:13 PM,,0,,,,HibikiMizuno,satoshi.hirata,62d6d768657fc166e26036e9,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0030n:,,,10/24,,,,,,,,,,,,,,,2023-10-17 13:50:09.659,"17/Oct/23 7:10 PM;62d6d768657fc166e26036e9;localで立ち上げた際には観測できないので、ちょっと確認してほしいです。

[https://<domain>/userProduct|https://<domain>/userProduct]
というオリジンからたたいており、

既存の/search は[https://<domain>/|https://<domain>/userProduct]?=”query” というオリジンから叩いているので、もしかしたらオリジンの判定が漏れてるかもしれません

[~accountid:63987e6af78d12c0f47112a9] ","17/Oct/23 10:50 PM;63987e6af78d12c0f47112a9;BE側で試したこと
ドメイン指定していた箇所を {{allow '*'}} （全部許可） にして検証環境にデプロイ
状況は変わらず
",,,Done
NextAuthの導入可否、導入優先度を決める。,AT-551,10573,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 9:12 PM,22/Oct/23 6:56 PM,22/Dec/23 12:09 AM,22/Oct/23 6:15 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-268,ユーザーがサインアップ・サインアウトできること【共通】,,,,purple,,,0|i002xf:,,,10/24,,,,,,,,3.0,,,,,,,,22/Oct/23 6:15 PM;62d6d768657fc166e26036e9;導入優先度は低め。認証を使った機能が増える場合、導入の優先度を上げるかもしれません。また、NextAuthでは最初はgoogleProviderではなく、email-passwordにするかも？,"22/Oct/23 6:56 PM;62d6d768657fc166e26036e9;現状はfirebase authenticationをつかって, providerはgoogleのみで実装します。

*ただfirebaseは検証のためのもので、本番でそのまま使う可能性は低いと考えています。*",10290,ユーザーがサインアップ・サインアウトできること【共通】,Done
BE: cors.rbのcredentials: true設定を削除する,AT-552,10574,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,17/Oct/23 9:18 PM,18/Oct/23 2:04 AM,22/Dec/23 12:09 AM,18/Oct/23 1:23 AM,,0,,Cookieを利用する場合の余分な設定が入っている,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031b:,,,10/24,,,,,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
BE: cors.rbに許可の追加設定を入れる,AT-553,10575,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,17/Oct/23 9:52 PM,18/Oct/23 2:13 AM,22/Dec/23 12:09 AM,18/Oct/23 2:13 AM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031j:,,,10/24,,,,,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
レスポンシブ対応： 所持品リスト画面,AT-554,10576,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,17/Oct/23 9:56 PM,22/Oct/23 9:09 PM,22/Dec/23 12:09 AM,22/Oct/23 9:09 PM,,0,,,,Fernández,,712020:744719ff-9f36-45ea-ad59-e50534df8206,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031r:,,,10/31,11/7,,,,,,,,,,,,,,,22/Oct/23 9:09 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;[https://github.com/chubachi-pt-2023/atomono-front/pull/69|https://github.com/chubachi-pt-2023/atomono-front/pull/69]　にて解決,,10494,所持品リスト・追加モーダル画面,Done
スタイル崩れの箇所の起票,AT-557,10579,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:05 PM,18/Oct/23 2:53 AM,22/Dec/23 12:09 AM,18/Oct/23 2:53 AM,,0,Frontend,少し画面サイズが変わると崩れるcomponentがあったりするので、改善できるところを探す。,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i00327:,,,10/24,,,,,,,,1.0,,,,,,,,,,,,Done
vercel以外の別のSaasでデプロイしてみて、CORSが確認できるかどうかを調査,AT-560,10582,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:47 PM,18/Oct/23 2:23 AM,22/Dec/23 12:09 AM,18/Oct/23 2:23 AM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0032v:,,,10/24,,,,,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
Vercelの設定見直し,AT-561,10583,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,17/Oct/23 10:47 PM,22/Oct/23 3:13 PM,22/Dec/23 12:09 AM,22/Oct/23 3:13 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0032n:,,,10/24,,,,,,,,,,,,,,,,,,10569,Prod: 所持品リスト検索のCORSエラー,Done
"userProduct(user/{userId}/product, POST)でのbearer tokenの付与忘れ",AT-562,10584,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,18/Oct/23 2:18 AM,21/Oct/23 4:21 PM,22/Dec/23 12:09 AM,21/Oct/23 4:21 PM,,0,,[https://github.com/chubachi-pt-2023/atomono-front/pull/65|https://github.com/chubachi-pt-2023/atomono-front/pull/65|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0033b:,,,10/24,,,,,,,,,,,,,,,,,,,,Done
hotfixのdevelopmentブランチへの反映,AT-563,10585,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,18/Oct/23 2:28 AM,18/Oct/23 3:44 AM,22/Dec/23 12:09 AM,18/Oct/23 3:44 AM,,0,,[https://github.com/chubachi-pt-2023/atomono-front/pull/66|https://github.com/chubachi-pt-2023/atomono-front/pull/66|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0033j:,,,10/24,,,,,,,,1.0,,,,,,,,,,,,Done
【UI修正】所持品コンポーネント,AT-564,10586,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,18/Oct/23 2:47 AM,20/Oct/23 12:30 AM,22/Dec/23 12:09 AM,20/Oct/23 12:30 AM,,0,,"{{app/__components__/Product/UserProductCard.client.tsx}}



!画面収録 2023-10-18 2.45.43.mov|width=1190,height=1344!



* カードの枠内に要素が収まっていない。
* 廃盤ラベルがある場合に大きくスタイルが崩れる(縦長になる)



あとはnitですが、少々文字が大きいので全体的に小さめに変えてほしいです。1~2px小さくするイメージ。",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,18/Oct/23 2:49 AM;62d6d768657fc166e26036e9;画面収録 2023-10-18 2.45.43.mov;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10027,,,,,,,,,,{},,,,,,,,,,0|i0033r:,,,10/24,,,,,,,,5.0,,,,,,,,,,,,Done
FE: update typescript ,AT-566,10588,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,21/Oct/23 1:59 AM,21/Oct/23 2:07 AM,22/Dec/23 12:09 AM,21/Oct/23 2:07 AM,,0,Frontend,"依存するpackage(types-ramda)がlintを通らなくなったので、typescriptのversionを最新に上げます





[https://github.com/chubachi-pt-2023/atomono-front/pull/70|https://github.com/chubachi-pt-2023/atomono-front/pull/70]",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i00347:,,,10/24,,,,,,,,1.0,,,,,,,,,,,,Done
