Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
各メンバーがコンテナにログインできるようにIAMユーザーを作成,AT-607,10638,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,02/Nov/23 7:01 PM,26/Nov/23 2:40 AM,22/Dec/23 12:14 AM,26/Nov/23 2:40 AM,,0,"権限の整備から

DeveloperとAdministratorで分ける",,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,AT-83,ユーザーがAWS環境上でアトモノを利用できること【インフラ構築】,,,,purple,,,0|i000qg:i,,,11/21,11/28,,,,,,,,,,,,,,,,,10105,ユーザーがAWS環境上でアトモノを利用できること【インフラ構築】,Done
本番環境用変数とsecrets.yml追加,AT-608,10639,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,High,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,03/Nov/23 11:04 PM,03/Nov/23 11:30 PM,22/Dec/23 12:14 AM,03/Nov/23 11:30 PM,,0,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003d8:,,,11/7,,,,,3.0,,,,,,,,,,,,,,,Done
BE: 本番デプロイ毎に必要なコマンドをentrypoint.shに追記する,AT-609,10640,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,03/Nov/23 11:34 PM,03/Nov/23 11:44 PM,22/Dec/23 12:14 AM,03/Nov/23 11:44 PM,,0,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003e7:,,,11/7,,,,,1.0,,,,,,,,,,,,,,,Done
商品画像を外部URLから取得する,AT-610,10641,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,04/Nov/23 9:33 AM,05/Nov/23 1:16 PM,22/Dec/23 12:14 AM,05/Nov/23 1:16 PM,,0,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003ef:,,,11/7,,,,,3.0,,,,,,,,,,,,,,,Done
【所持品リスト追加モーダル】tablet時(1024px未満)もmobileの方を適用,AT-611,10642,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:47 AM,06/Nov/23 8:54 PM,22/Dec/23 12:14 AM,06/Nov/23 8:54 PM,,0,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,04/Nov/23 9:53 AM;62d6d768657fc166e26036e9;スクリーンショット 2023-11-04 9.53.16.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10035,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i003en:,,,11/7,,,,,1.0,,,,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
FE: 三点リーダーを設定し、menu(編集・削除)を表示,AT-612,10643,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:50 AM,05/Nov/23 7:37 PM,22/Dec/23 12:14 AM,05/Nov/23 7:37 PM,,0,ログアウト時に作成したdropdown menuはutil化してください。,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003ev:,,,11/7,,,,,5.0,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
FE: 削除を実装(PC),AT-613,10644,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:51 AM,06/Nov/23 2:53 AM,22/Dec/23 12:14 AM,06/Nov/23 2:53 AM,,0,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003f3:,,,11/7,,,,,,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
FE: 編集用のモーダルを実装し、編集できるようにする,AT-614,10645,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:51 AM,05/Nov/23 6:43 PM,22/Dec/23 12:14 AM,05/Nov/23 6:43 PM,,0,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003fb:,,,11/7,,,,,5.0,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
"dropdown menuのutil化(component, hooks等)",AT-615,10646,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:58 AM,07/Nov/23 12:06 AM,22/Dec/23 12:14 AM,07/Nov/23 12:06 AM,,0,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003fj:,,,11/7,,,,,,,,,,,,,,,,,,10643,FE: 三点リーダーを設定し、menu(編集・削除)を表示,Done
三点リーダーを設置し、編集・削除を表示,AT-616,10647,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:59 AM,09/Nov/23 3:35 AM,22/Dec/23 12:14 AM,09/Nov/23 3:35 AM,,0,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003fr:,,,11/7,,,,,,,,,,,,,,,,,,10643,FE: 三点リーダーを設定し、menu(編集・削除)を表示,Done
FE: 【mobile対応】pulldown menuの表示位置を調整(Figmaを確認してください),AT-617,10648,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 10:10 AM,11/Nov/23 9:25 AM,22/Dec/23 12:14 AM,11/Nov/23 9:25 AM,,0,"!image-20231110-132523.png|width=437,height=294!",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,10/Nov/23 10:26 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;image-20231110-132523.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10042,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003fz:,,,11/7,11/14,,,,,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
FE: 【mobile対応】削除確認Dialogを実装。削除時は確認ダイアログを経由,AT-618,10649,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 10:11 AM,06/Nov/23 10:21 PM,22/Dec/23 12:14 AM,06/Nov/23 2:53 AM,,0,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003g7:,,,11/7,,,,,,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
