Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment1,Comment2,Comment3,Parent,Parent summary,Status Category
外部設計変更：UIDはbearer tokenで受け渡しをする,AT-532,10554,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,13/Oct/23 11:30 AM,14/Oct/23 12:02 PM,21/Dec/23 9:50 PM,14/Oct/23 12:02 PM,,0,,"

[https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941|https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941|smart-link] ",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002xz:,,,10/17まで,,,,1.0,,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: bearer tokenを受け渡せるようにfetcherを修正,AT-533,10555,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,13/Oct/23 11:31 AM,14/Oct/23 12:02 PM,21/Dec/23 9:50 PM,14/Oct/23 12:02 PM,,0,Frontend,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002y7:,,,10/17まで,,,,3.0,,,,,,,,"14/Oct/23 11:13 AM;62d6d768657fc166e26036e9;[https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#d32cbce8281e41b6b850211b1e3f0aee|https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#d32cbce8281e41b6b850211b1e3f0aee|smart-link] 

[https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941|https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941]",14/Oct/23 11:53 AM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/60|https://github.com/chubachi-pt-2023/atomono-front/pull/60],,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
BE: pingまたは認証情報をPOST処理で送り専用トークンを返す挙動の検証,AT-534,10556,Task,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,13/Oct/23 11:36 AM,13/Oct/23 11:37 AM,21/Dec/23 9:50 PM,,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002yf:,,,,,,,,,,,,,,,,,,,,To Do
BE: bearer tokenからUIDを取得するようにparamsを修正,AT-535,10557,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,14/Oct/23 2:28 AM,17/Oct/23 1:51 AM,21/Dec/23 9:50 PM,17/Oct/23 1:51 AM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002yb:,,,10/17まで,,,,3.0,,,,,,,,17/Oct/23 1:51 AM;63987e6af78d12c0f47112a9;[https://chubachi-pt-2023.atlassian.net/browse/AT-490|https://chubachi-pt-2023.atlassian.net/browse/AT-490|smart-link] の中で対応済,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: headerが二重になっている問題,AT-536,10558,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 9:50 AM,14/Oct/23 12:01 PM,21/Dec/23 9:50 PM,14/Oct/23 12:01 PM,,0,,PR: [https://github.com/chubachi-pt-2023/atomono-front/pull/61|https://github.com/chubachi-pt-2023/atomono-front/pull/61],,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001za:9,,,10/17まで,,,,,,,,,,,,,,,,,Done
モバイル用ヘッダーコンポーネント作成（検索フォームあり）,AT-537,10559,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,14/Oct/23 10:06 AM,22/Oct/23 3:14 PM,21/Dec/23 9:50 PM,22/Oct/23 3:14 PM,,0,,,,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002yn:,,,10/17まで,10/24,,,,,,,,,,,,,,10490,検索結果画面,Done
検索結果商品カードコンポーネント作成,AT-538,10560,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,14/Oct/23 10:06 AM,24/Oct/23 9:44 PM,21/Dec/23 9:50 PM,24/Oct/23 9:44 PM,,0,,,,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002yv:,,,10/17まで,10/24,,,,,,,,,,,,,,10490,検索結果画面,Done
border radiousが一部効かなくなっている,AT-539,10561,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 10:37 AM,14/Oct/23 10:40 AM,21/Dec/23 9:50 PM,14/Oct/23 10:40 AM,,0,,tailwind.codfig.jsのborderRadiousのDEFAULTを設定していないからだ。,development,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001za:4,,,10/17まで,,,,,,,,,,,,14/Oct/23 10:40 AM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/59|https://github.com/chubachi-pt-2023/atomono-front/pull/59],,,,,Done
色定義・borderRadius等 tailwindカスタム定義のリファクタリング,AT-540,10562,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 11:03 AM,22/Oct/23 9:51 PM,21/Dec/23 9:50 PM,22/Oct/23 9:51 PM,,0,,"* ブランドカラーとそうでないものの扱いを分ける
** atomono配下かそれ以外かに分ける
* border radiusが未だ効いていない部分の修正
* ",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002z3:,,,10/24,,,,3.0,,,,,,,,,,,,,Done
開発者はstorybookでaction add-onを使いたい,AT-541,10563,Task,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Low,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 11:16 AM,14/Nov/23 8:34 PM,21/Dec/23 9:50 PM,,,0,Frontend,@storybook/addon-actionsを追加。自動生成scriptも修正すること,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003c5:,,,10/31,11/7,12月　アイスタイル様に見せる,,3.0,,,,,,,,,,,,,To Do
FE: 所持品リスト画面にて、認証がない場合のUIを実装,AT-542,10564,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 10:22 PM,31/Oct/23 11:59 PM,21/Dec/23 9:50 PM,31/Oct/23 11:58 PM,,0,,認証していないと、使えない旨を記載,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-268,ユーザーがサインアップ・サインアウトできること【共通】,,,,purple,,,0|i002zj:,,,10/31,,,,3.0,,,,,,,,31/Oct/23 7:49 PM;62d6d768657fc166e26036e9;デザインカンプからやるぞ,31/Oct/23 8:27 PM;62d6d768657fc166e26036e9;　デザインカンプDone,31/Oct/23 11:59 PM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/87|https://github.com/chubachi-pt-2023/atomono-front/pull/87|smart-link] ,10290,ユーザーがサインアップ・サインアウトできること【共通】,Done
FE: ユーザーはログアウトをしたい,AT-543,10565,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 11:20 PM,31/Oct/23 7:24 PM,21/Dec/23 9:50 PM,31/Oct/23 7:24 PM,,0,,headerからログアウトできるようにしてほしいです,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-267,ユーザーがログイン・ログアウトできること【共通】,,,,purple,,,0|i002zr:,,,10/31,,,,3.0,,,,,,,,,,,10289,ユーザーがログイン・ログアウトできること【共通】,Done
