Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment1,Comment2,Parent,Parent summary,Status Category
ユーザーが廃盤品の代替品の詳細を調べることができること,AT-119,10141,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Highest,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,16/May/23 9:06 PM,25/Oct/23 9:37 AM,22/Dec/23 12:12 AM,03/Oct/23 11:59 PM,,0,,,,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001o6:w9,,,MVP-final,fav-and-having-list,prepare-mid-presen/mon-review,,,,,,,,,,,,,,,,,,,,,,,,,Done
【イベント】8/5 前期発表,AT-258,10280,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,13/Jun/23 8:56 PM,25/Oct/23 9:54 AM,22/Dec/23 12:12 AM,10/Aug/23 11:19 AM,05/Aug/23 12:00 AM,0,,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-14,,,,,,dark_orange,,,0|i001o6:wci,,,sprint14-presentation,,,,,,,,,,,,,,19/Jul/23 12:00 AM,,,,,,,,,,,,,Done
ユーザーが廃盤品に関連する代替品を一つ見つけることができること,AT-263,10285,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,13/Jun/23 9:11 PM,25/Oct/23 9:36 AM,22/Dec/23 12:12 AM,03/Oct/23 11:59 PM,,0,,"products/{id}のrelatives

DB上は何ベースの代替品かは把握できているものの、その情報はFE側には返しておらずrelativesの中に含まれる。",,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001o6:w,,,MVP-final,fav-and-having-list,prepare-mid-presen/mon-review,,,,,,,,,,,,,,,,,,,,,,,,,Done
ユーザーが廃盤品の詳細情報を確認できること,AT-264,10286,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,13/Jun/23 9:11 PM,26/Oct/23 3:39 PM,22/Dec/23 12:12 AM,26/Oct/23 3:39 PM,,0,,"・検索結果一覧から特定の商品の情報を取得することができる。

* _代替品のレコメンドは含まない。_",,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001o6:vi,,,MVP-final,fav-and-having-list,prepare-mid-presen/mon-review,,,,,,,,,,,,,,,,,,,,,,,,,Done
ユーザーが廃盤品に関連する代替品を複数見つけることができること,AT-265,10287,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,13/Jun/23 9:11 PM,25/Oct/23 9:36 AM,22/Dec/23 12:12 AM,13/Aug/23 12:25 AM,,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001o6:v9,,,MVP-final,fav-and-having-list,prepare-mid-presen/mon-review,,,,,,,,,,,,,,,,,,,,,,,,,Done
フロントエンドreview分,AT-301,10323,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,14/Jun/23 1:10 AM,25/Oct/23 1:21 PM,22/Dec/23 12:12 AM,25/Oct/23 1:21 PM,,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,,,{},,AT-264,ユーザーが廃盤品の詳細情報を確認できること,,,,,,,0|i000qy:,,,MVP-final,fav-and-having-list,prepare-mid-presen/mon-review,buffer-sprint,sprint14-presentation,summer-activity1,summer-activity2,summer-activity3,summer-activity4,summer-activity5,summer-activity6,summer-activity7,summer-activity8,tmp,,3.0,,,,,,,,,,10286,ユーザーが廃盤品の詳細情報を確認できること,Done
【イベント】メーカー側にインタビュー,AT-347,10369,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,14/Jun/23 5:31 PM,25/Oct/23 10:27 AM,22/Dec/23 12:12 AM,25/Oct/23 10:27 AM,27/Jul/23 12:00 AM,0,,,,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-14,,,,To Do,,dark_orange,,,0|i001o6:wb,,,,,,,,,,,,,,,,,01/Jul/23 12:00 AM,,,,,,,,,,,,,Done
【イベント】マンスリーレビュー7月,AT-407,10429,Epic,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,04/Jul/23 9:03 PM,25/Oct/23 9:54 AM,22/Dec/23 12:12 AM,10/Aug/23 11:19 AM,18/Jul/23 12:00 AM,0,,,,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,7200,7200,,,,,,,,,,,,,,,,{},ghx-label-14,,,,To Do,,dark_orange,,,0|i001o6:wc,,,,,,,,,,,,,,,,,05/Jul/23 12:00 AM,,,,,,,,,,,,,Done
フロントエンド実装：商品概要,AT-417,10439,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,09/Jul/23 12:14 AM,25/Oct/23 1:21 PM,22/Dec/23 12:12 AM,25/Oct/23 1:21 PM,,0,,"!スクリーンショット 2023-07-09 1.35.31 (c3070130-1b01-431b-8bba-a3b04504f72f).png|width=479,height=187!

TODO

* {{__component__}} 配下にコンポーネントを作る
* storyファイルを生成する
** 当該のstoryファイルのみを生成してください. 他のファイルは基本更新しないように.
*** npm run gen:stories",,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,AT-416,,09/Jul/23 1:44 AM;62d6d768657fc166e26036e9;スクリーンショット 2023-07-09 1.35.31 (c3070130-1b01-431b-8bba-a3b04504f72f).png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10020,09/Jul/23 1:35 AM;62d6d768657fc166e26036e9;スクリーンショット 2023-07-09 1.35.31.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10018,,,,,,,,,,{},,AT-264,ユーザーが廃盤品の詳細情報を確認できること,,,,,,,0|i000r2:zx,,,MVP-final,fav-and-having-list,prepare-mid-presen/mon-review,buffer-sprint,sprint14-presentation,summer-activity1,summer-activity2,summer-activity3,summer-activity4,summer-activity5,summer-activity6,summer-activity7,summer-activity8,tmp,,3.0,,,,,,,,,,10286,ユーザーが廃盤品の詳細情報を確認できること,Done
フロントエンド：商品概要と代替品候補のUI変更,AT-459,10481,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,20/Aug/23 2:10 PM,25/Oct/23 1:21 PM,22/Dec/23 12:12 AM,25/Oct/23 1:21 PM,,0,,"商品概要、代替品候補のUIがMVPのママである. 

プロトタイプのUIに変更する",,HibikiMizuno,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,,{},,AT-264,ユーザーが廃盤品の詳細情報を確認できること,,,,,,,0|i002lz:,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,10286,ユーザーが廃盤品の詳細情報を確認できること,Done
